- Vespa GTS 300ie Super Tech Keyless HPE ABS (2023, ZAPMD3104)
- Vespa GTS 300ie Super Tech Keyless HPE ABS (2024, ZAPMD3103)
- Vespa GTS 300ie Super Touring (2010, ZAPM45200)
- Vespa GTS 300ie Super Touring (2011, ZAPM45200)
- Vespa GTS 300ie Super Touring (2012, ZAPM45200)
- Vespa GTS 300ie Super Touring (2013, ZAPM45200)
- Vespa GTS 300ie Touring (2015, ZAPM45202)
- Vespa GTS 300ie Touring (2016, ZAPMA3300)
- Vespa GTS 300ie Touring (2017, ZAPMA3300)
- Vespa GTS 300ie Touring HPE ABS ASR (2019-2020, ZAPMA3600)
- Vespa GTS 300ie Touring HPE ABS ASR (2021, ZAPMD3100)
- Vespa GTS 310ie Classic Keyless ABS (2024-2025, ZAPMD3500)
- Vespa GTS 310ie Super Keyless ABS (2024, ZAPMD3500)
- Vespa GTS 310ie Super Sport Keyless ABS (2025, ZAPMD3500)
- Vespa GTS 310ie Super Tech Keyless ABS (2025, ZAPMD3500)
- Vespa GTS 310ie Super Tech Keyless ABS (2025, ZAPMD3501)
- Vespa GTV 250 (2005, ZAPM45102)
- Vespa GTV 250 (2006, ZAPM45102)
- Vespa GTV 250 (2007, ZAPM45102)
- Vespa GTV 250 (2007, ZAPM45102) Navy
- Vespa GTV 250 (2008, ZAPM45102)
- Vespa GTV 250 (2008, ZAPM45102) Navy
- Vespa GTV 250 (2009, ZAPM45102)
- Vespa GTV 300 (2017-2018, ZAPMA3302)
- Vespa GTV 300 HPE (2019-2021, ZAPMA3602)
- Vespa GTV 300 HPE (2019-2021, ZAPMA362)
- Vespa GTV 300 HPE (2020-2021, ZAPMD3102)
- Vespa GTV 300 HPE (2021, ZAPMA361)
- Vespa GTV 300 Keyless HPE (2023-2024, ZAPMD3108)
- Vespa GTV 300ie (2010, ZAPM45201)
- Vespa GTV 300ie (2010, ZAPM45201) Via Montenapoleone
- Vespa GTV 300ie (2011, ZAPM45201)
- Vespa GTV 300ie (2012, ZAPM45201)
- Vespa GTV 300ie (2013, ZAPM45201)
- Vespa GTV 300ie (2013, ZAPM45201) Vie della Moda
- Vespa GTV 300ie HPE ABS (2019-2021, ZAPMA3602) Sei Giorni
- Vespa GTV 300ie Keyless HPE ABS (2024, ZAPMD3108)
- Vespa GTV 310ie Keyless ABS - ASR (2025, ZAPMD3502)
