- Jungle 50 (2000, RFGGA05W)
- Mask 50 (2003-2004, RFGBF05W)
- Maxsym 400 EFI ABS (2012-2014, RFGLXA90)
- Maxsym 400 EFI CBS (2011-2012, RFGLXA90)
- Maxsym 400i ABS (2015, RFGLXA90)
- Maxsym 400i ABS (2018-2020, RFGLXA90)
- Maxsym 400i CBS (2015, RFGLXA90)
- Maxsym 600i ABS (2014, RFGLXAD0)
- Maxsym 600i Executive ABS (2017-2020, RFGLXAD0)
- Maxsym 600i Executive Sport ABS (2015-2016, RFGLXAD0)
- Maxsym 600i Sport ABS (2015, RFGLXAD0)
- Megalo 125 (2002-2003, RFGAK12W)
- Megalo 125 (2004-2007, RFGAK12W)
- MG 125 (2002-2003, RFGAK12W)
- Mio 100 (2005-2007, RFGHU10W)
- Mio 100 (2007-2010, RFGHU10W)
- Mio 100 (2010-2015, RFGHU10W)
- Mio 100 (2016, RFGHU10W)
- Mio 100 Edition (2011, RFGHU10W)
- Mio 100 Sport (2010, RFGHU10W)
- Mio 115i CBS (2017-2020, RFGFS11W)
- Mio 50 (2005-2008, RFGHU05W)
- Mio 50 (2009-2015, RFGHU05W)
- Mio 50 (2015-2016, RFGHU05W)
- Mio 50 Edition (2009-2015, RFGHU05W)
- Mio 50 Sport (2010, RFGHU05W)
- Mio 50i (2018-2020, RFGFS05W)
- New Mask 50 (2019-2020, LXMXE05W)
- Orbit 125 (2007-2008, RFGAV12W)
- Orbit 50 (2007-2014, RFGAV05W)
- Orbit II 125 (2010-2013, LXMAE12W)
- Orbit II 125 CBS (2017, LXMAE12W)
- Orbit II 50 (2008-2015, LXMAE05W)
- Orbit II 50 (2013-2017)
- Orbit II 50 (2018-2020, LXMAE05W)
- Orbit II 50 Naked (2012-2013, LXMJE05W)
- Orbit II 50 TS (2011-2016, LXMAE05W)
- Orbit III 125 CBS (2018, LXMXE12W)
- Orbit III 125 CBS (2019, LXMXE12W)
- Orbit III 50 (2019, LXMAE05W)
- Red Devil 50 (1997-1999, RFGG050J)
- Red Devil 50 (1999-2004, RFGBL05W)
- Shark 125 (1999-2003, RFGHS12W) Trommelbremse hinten
- Shark 125 Dual Disc (1999-2003, RFGHS12W) Scheibenbremse hinten
- Shark 125 Dual Disc (2004, RFGHS12W) Scheibenbremse hinten
- Shark 50 (1999-2003, RFGBS05W)
- Shark 50 (2005, RFGBS05W)
- Super Duke 125 (1996-1998, RFGA125Q)
- Super Duke 150 (1996-1998, RFGA150Q)
- Symmetry (2012, 1800 W)
- Symmetry (2012, 2200 W)
- Symphony 125 (2009-2010, LXMAY12W)
- Symphony 125 (2011, LXMAY12W)
- Symphony 125 SR (2010-2015, LXMAZ12W)
- Symphony 125 SR (2010-2015, LXMAZ12W) Euro 3
- Symphony 125 ST (2015, LXMXB12W)
- Symphony 125i Cargo (2017-2019, LXMAY12W)
- Symphony 125i S CBS (2017, LXMAY12W)
- Symphony 125i SR CBS (2017-2020, LXMAZ12W)
- Symphony 125i ST ABS (2018-2019, LXMXB12W)
- Symphony 125i ST CBS (2017-2019, LXMXB12W)
- Symphony 200i ST (2018, LXMXB20W)
- Symphony 50 (2009, LXMAY05W)
- Symphony 50 Cargo (2017-2019, LXMAY05W)
- Symphony 50 SR (2010-2015, LXMAZ05W)
- Symphony 50 SR (2016, LXMAZ05W)
- Symphony 50 SR (2018-2020, LXMAZ05W)
- Symphony 50 ST (2015-2017, LXMXB05W)
- Symphony 50 ST (2019, LXMXB05W)
- Symply 150 (2011, RFGAV15W)
- Symply 50 (2007-2017, RFGAV05W)
- Symply II 50 (2013-)
- Tonik 125 (2010-2014, LXMFWA301)
- Tonik 50 (2010-2014, LXMFW101)
- Tonik 50 Edition (2012, LXMFW101)
- VS 125 (2006-2007, RFGHA12W) Euro 2
- VS 125 (2007-2008, RFGHA12W) Euro 3
- VS 125 (2009-2013, RFGHA12W)
- VS 125 S (2010-2014, RFGHA12W)
- X'Pro 125 (2014-2016, LXMAE12W)
- X'Pro 125i (2017-2020, LXMAE12W)
- X'Pro 50 (2014-2017, RFGAE05W)
- X'Pro 50 (2018-2020, RFGAE05W)
