- Vespa Primavera 125 IGET Touring (2016, ZAPMA1100)
- Vespa Primavera 125 IGET Touring (2017, ZAPMA1100)
- Vespa Primavera 125 IGET Touring (2018, ZAPMA1100)
- Vespa Primavera 125 IGET Touring (2018, ZAPMA1101)
- Vespa Primavera 125 IGET Touring (2019-2020, ZAPMA1100)
- Vespa Primavera 125 IGET Touring (2019-2020, ZAPMA1101)
- Vespa Primavera 125 IGET Touring ABS (2018, ZAPMA1100)
- Vespa Primavera 125 IGET Touring ABS (2021, ZAPMD1100)
- Vespa Primavera 125 IGET Touring ABS (2022, ZAPMD1100)
- Vespa Primavera 125 IGET Touring ABS (2023, ZAPMD1100)
- Vespa Primavera 150 (2013-2016, ZAPM81201)
- Vespa Primavera 150 (2013, ZAPM81200)
- Vespa Primavera 150 (2014, ZAPM81200)
- Vespa Primavera 150 (2015, ZAPM81200)
- Vespa Primavera 150 (2016, ZAPM81200)
- Vespa Primavera 150 (2024, ZAPMD1216)
- Vespa Primavera 150 (2024, ZAPMD1217)
- Vespa Primavera 150 IGET (2016, ZAPMA1200)
- Vespa Primavera 150 IGET (2017, ZAPMA1200)
- Vespa Primavera 150 IGET ABS (2018, ZAPMA1200)
- Vespa Primavera 150 IGET ABS (2018, ZAPMA1201)
- Vespa Primavera 150 IGET ABS (2021, ZAPMD120)
- Vespa Primavera 150 IGET ABS (2021, ZAPMD120) 75th Anniversary
- Vespa Primavera 150 IGET ABS (2021, ZAPMD120) RED
- Vespa Primavera 150 IGET ABS (2021, ZAPMD120) Wotherspoon
- Vespa Primavera 150 IGET ABS (2022, ZAPMD1200)
- Vespa Primavera 150 IGET ABS (2022, ZAPMD1200) Red
- Vespa Primavera 150 IGET ABS (2023, ZAPMD1200)
- Vespa Primavera 150 IGET ABS (2023, ZAPMD1200) Color Vibe
- Vespa Primavera 150 IGET ABS (2023, ZAPMD1200) Mickey Mouse
- Vespa Primavera 150 IGET ABS (2023, ZAPMD1200) Red
- Vespa Primavera 150 IGET ABS (2024, ZAPMD1202)
- Vespa Primavera 150 IGET ABS (2024, ZAPMD1202) Red
- Vespa Primavera 150 IGET ABS Sport (2021, ZAPMD120)
- Vespa Primavera 150 IGET Basic (2026, ZAPMD1220)
- Vespa Primavera 150 IGET Sport (2026, ZAPMD1220)
- Vespa Primavera 150 IGET Sport ABS (2018, ZAPMA1200)
- Vespa Primavera 150 IGET Sport ABS (2018, ZAPMA1201)
- Vespa Primavera 150 IGET Sport ABS (2022, ZAPMD1200)
- Vespa Primavera 150 IGET Sport ABS (2023, ZAPMD1200)
- Vespa Primavera 150 IGET Sport ABS (2024, ZAPMD1202)
- Vespa Primavera 150 IGET Touring ABS (2018, ZAPMA1200)
- Vespa Primavera 150 IGET Touring ABS (2018, ZAPMA1201)
- Vespa Primavera 150 IGET Touring ABS (2022, ZAPMD1200)
- Vespa Primavera 150 IGET Touring ABS (2023, ZAPMD1200)
- Vespa Primavera 150 Touring (2015, ZAPM81200)
- Vespa Primavera 150 Touring IGET ABS (2021, ZAPMD120)
- Vespa Sprint 125 (2014, RP8M82111)
- Vespa Sprint 125 (2014, ZAPM81300)
- Vespa Sprint 125 (2014, ZAPM81301)
- Vespa Sprint 125 (2015, RP8M82111)
- Vespa Sprint 125 (2015, ZAPM81300)
